Personnel_Code,ID_Badge,Workday,Clock_In_Planned,Clock_Out_Planned,Punched_In,Punched_Out,Hours_Expected,Hours_Worked,Unit_Name,Role_Type,Morning_Evening_Night,Worker_Full_Name,Team_Leader,Manager_Flag,Remarks
P-001,BDG-1001,2024-02-10,07:00,15:00,06:55,15:10,8.0,8.25,Cardiology,Registered Nurse,Morning,Sarah Johnson,Yes,No,Early arrival
P-002,BDG-1002,2024-02-10,15:00,23:00,15:05,23:00,8.0,7.92,Emergency,Physician,Evening,Michael Chen,No,Yes,Department head
P-003,BDG-1003,2024-02-10,23:00,07:00,22:50,07:15,8.0,8.42,ICU,Nurse Practitioner,Night,Emily Davis,No,No,Overtime approved
P-004,BDG-1004,2024-02-11,06:00,14:00,06:00,14:00,8.0,8.0,Surgery,Surgical Tech,Morning,David Wilson,Yes,No,
P-005,BDG-1005,2024-02-11,08:00,16:00,08:10,16:05,8.0,7.92,Pediatrics,Pediatric Nurse,Day,Lisa Brown,No,No,Late arrival noted
P-006,BDG-1006,2024-02-11,14:00,22:00,13:55,22:30,8.0,8.58,Oncology,Oncology Nurse,Afternoon,James Taylor,No,Yes,Extended shift
P-007,BDG-1007,2024-02-12,07:30,15:30,07:30,15:30,8.0,8.0,Radiology,Radiologist,Morning,Amanda Martinez,Yes,No,
P-008,BDG-1008,2024-02-12,11:00,19:00,11:15,19:00,8.0,7.75,Lab,Lab Technician,Day,Robert Anderson,No,No,Delayed start
P-009,BDG-1009,2024-02-12,19:00,03:00,18:50,03:10,8.0,8.33,Emergency,ER Nurse,Night,Jennifer Thomas,No,No,Busy night
P-010,BDG-1010,2024-02-13,05:00,13:00,05:00,13:15,8.0,8.25,Pharmacy,Pharmacist,Early,Christopher Lee,Yes,Yes,Inventory day

