emp_code,worker_name,work_date,time_in,time_out,dept,shift_category
EMP001,דני כהן,2024-03-01,07:00,15:00,חדר_מיון,בוקר
EMP002,רונה לוי,2024-03-01,15:00,23:00,ילדים,ערב
EMP003,אבי גולן,2024-03-01,23:00,07:00,לב,לילה
EMP004,מירב שלום,2024-03-01,07:00,15:00,נוירו,בוקר
EMP005,יוסי מזרחי,2024-03-01,15:00,23:00,פנימית,ערב
EMP001,דני כהן,2024-03-02,07:00,15:00,חדר_מיון,בוקר
EMP002,רונה לוי,2024-03-02,07:00,15:00,ילדים,בוקר
EMP003,אבי גולן,2024-03-02,15:00,23:00,לב,ערב
EMP004,מירב שלום,2024-03-02,23:00,07:00,נוירו,לילה
EMP005,יוסי מזרחי,2024-03-02,07:00,15:00,פנימית,בוקר
EMP001,דני כהן,2024-03-03,15:00,23:00,חדר_מיון,ערב
EMP002,רונה לוי,2024-03-03,23:00,07:00,ילדים,לילה
EMP003,אבי גולן,2024-03-03,07:00,15:00,לב,בוקר

