מזהה_משמרת,שם_עובד,מספר_עובד,שם_מחלקה,תאריך,שעת_כניסה,שעת_יציאה,שעות_עבודה,סוג,אחראי
M001,רונית כהן,ע001,מיון,2026-01-25,07:00,15:00,8.0,בוקר,כן
M002,יוסי לוי,ע002,ילדים,2026-01-25,07:30,19:30,12.0,מלא,לא
M003,מיכל אברהם,ע003,כירורגיה,2026-01-25,14:00,22:00,8.0,ערב,כן
M004,דוד פרץ,ע004,טיפול נמרץ,2026-01-25,19:00,07:00,12.0,לילה,לא
M005,שרה גולן,ע005,לב,2026-01-25,08:00,14:00,6.0,חלקי,לא
M006,אבי מזרחי,ע006,מיון,2026-01-25,15:00,23:00,8.0,ערב,לא
M007,נועה רוזנברג,ע007,נוירולוגיה,2026-01-26,07:00,15:00,8.0,בוקר,כן
M008,עמית שטיין,ע008,אונקולוגיה,2026-01-26,06:00,18:00,12.0,מלא,לא
M009,הילה ברקוביץ,ע009,רדיולוגיה,2026-01-26,14:00,22:00,8.0,ערב,לא
M010,גיל נבון,ע010,יולדות,2026-01-26,22:00,06:00,8.0,לילה,לא
M011,טלי כץ,ע011,מיון,2026-01-26,08:00,12:00,4.0,חלקי,לא
M012,אורן דיין,ע012,ילדים,2026-01-26,12:00,20:00,8.0,ערב,כן
M013,ענת סגל,ע013,כירורגיה,2026-01-27,07:00,19:00,12.0,מלא,לא
M014,יעל פרידמן,ע014,טיפול נמרץ,2026-01-27,19:00,07:00,12.0,לילה,כן
M015,רועי אשכנזי,ע015,לב,2026-01-27,07:30,15:30,8.0,בוקר,לא
