roster_id,worker_name,worker_id,section,date,start_time,end_time,duration_min,break_min,shift_class,is_lead
R001,Emma Thompson,W001,Emergency,2026-01-20,07:00,15:00,480,30,Day,1
R002,Oliver Parker,W002,Pediatrics,2026-01-20,07:30,19:30,720,60,Long,0
R003,Sophia Hughes,W003,Surgery,2026-01-20,14:00,22:00,480,30,Evening,1
R004,Liam Edwards,W004,ICU,2026-01-20,19:00,07:00,720,45,Night,0
R005,Ava Collins,W005,Cardiology,2026-01-20,08:00,14:00,360,15,Short,0
R006,Noah Stewart,W006,Emergency,2026-01-20,15:00,23:00,480,30,Evening,0
R007,Isabella Morris,W007,Neurology,2026-01-21,07:00,15:00,480,30,Day,1
R008,Mason Rogers,W008,Oncology,2026-01-21,06:00,18:00,720,60,Long,0
R009,Mia Reed,W009,Radiology,2026-01-21,14:00,22:00,480,30,Evening,0
R010,Ethan Cook,W010,Maternity,2026-01-21,22:00,06:00,480,30,Night,0
R011,Charlotte Bell,W011,Emergency,2026-01-21,08:00,12:00,240,15,Short,0
R012,Aiden Murphy,W012,Pediatrics,2026-01-21,12:00,20:00,480,30,Evening,1
R013,Amelia Bailey,W013,Surgery,2026-01-22,07:00,19:00,720,60,Long,0
R014,Lucas Rivera,W014,ICU,2026-01-22,19:00,07:00,720,45,Night,1
R015,Harper Cooper,W015,Cardiology,2026-01-22,07:30,15:30,480,30,Day,0
R016,Jackson Richardson,W016,Emergency,2026-01-22,15:00,23:00,480,30,Evening,0
R017,Evelyn Cox,W017,Neurology,2026-01-22,23:00,07:00,480,30,Night,0
R018,Sebastian Howard,W018,Oncology,2026-01-23,06:00,14:00,480,30,Day,0
R019,Abigail Ward,W019,Radiology,2026-01-23,14:00,20:00,360,20,Evening,0
R020,Henry Torres,W020,Maternity,2026-01-23,20:00,08:00,720,60,Night,1
