shift_num,employee_name,emp_code,unit,schedule_date,start,end,total_hrs,category,lead
1001,Jennifer Smith,US001,ER,01/15/2026,07:00,15:00,8.0,Morning,Y
1002,Michael Johnson,US002,PEDS,01/15/2026,07:30,19:30,12.0,Extended,N
1003,Emily Davis,US003,OR,01/15/2026,14:00,22:00,8.0,Afternoon,Y
1004,Robert Wilson,US004,ICU,01/15/2026,19:00,07:00,12.0,Overnight,N
1005,Sarah Brown,US005,Cardio,01/15/2026,08:00,14:00,6.0,Half,N
1006,David Miller,US006,ER,01/15/2026,15:00,23:00,8.0,Afternoon,N
1007,Amanda Taylor,US007,Neuro,01/16/2026,07:00,15:00,8.0,Morning,Y
1008,James Anderson,US008,Onco,01/16/2026,06:00,18:00,12.0,Extended,N
1009,Lisa Thomas,US009,Radiology,01/16/2026,14:00,22:00,8.0,Afternoon,N
1010,Christopher Martin,US010,L&D,01/16/2026,22:00,06:00,8.0,Overnight,N
1011,Jessica Garcia,US011,ER,01/16/2026,08:00,12:00,4.0,Half,N
1012,Matthew Martinez,US012,PEDS,01/16/2026,12:00,20:00,8.0,Afternoon,Y
1013,Ashley Robinson,US013,OR,01/17/2026,07:00,19:00,12.0,Extended,N
1014,Daniel Clark,US014,ICU,01/17/2026,19:00,07:00,12.0,Overnight,Y
1015,Stephanie Lewis,US015,Cardio,01/17/2026,07:30,15:30,8.0,Morning,N
1016,Andrew Lee,US016,ER,01/17/2026,15:00,23:00,8.0,Afternoon,N
1017,Nicole Walker,US017,Neuro,01/17/2026,23:00,07:00,8.0,Overnight,N
1018,Joshua Hall,US018,Onco,01/18/2026,06:00,14:00,8.0,Morning,N
1019,Megan Allen,US019,Radiology,01/18/2026,14:00,20:00,6.0,Afternoon,N
1020,Ryan Young,US020,L&D,01/18/2026,20:00,08:00,12.0,Overnight,Y
