מספר_עובד,שם_עובד,סוג_העסקה,שכר_ברוטו,תעריף_שעתי,שעות_חודשיות,עלות_שעה_אפקטיבית,מחלקה,תפקיד,תאריך_התחלה,מטבע
ע001,יוסי כהן,שכיר,15000,,186,100.81,מיון,אח/ות,2022-03-15,ש"ח
ע002,רונית לוי,שכיר,18000,,186,120.97,טיפול_נמרץ,אח/ות בכיר/ה,2021-01-10,ש"ח
ע003,דוד ישראלי,קבלן,,120,160,120.00,ניתוחים,טכנאי ניתוחים,2023-06-01,ש"ח
ע004,מיכל אברהם,שכיר,12000,,186,80.65,ילדים,אח/ות,2023-02-20,ש"ח
ע005,אבי מזרחי,קבלן,,150,140,150.00,רדיולוגיה,טכנאי,2022-11-05,ש"ח
ע006,שירה גולן,שכיר,22000,,186,147.85,קרדיולוגיה,אחות אחראית,2019-08-12,ש"ח
ע007,עמית ברק,קבלן,,95,180,95.00,מיון,חובש,2024-01-08,ש"ח
ע008,נועה פרידמן,שכיר,16500,,186,110.89,נוירולוגיה,אח/ות,2020-05-22,ש"ח
ע009,אורי שלום,קבלן,,180,120,180.00,אורתופדיה,מומחה,2023-09-15,ש"ח
ע010,תמר רוזן,שכיר,14000,,186,94.09,פנימית,אח/ות,2021-07-03,ש"ח

