employee_id,employee_name,position,employment_type,activity_code,activity_description,activities_performed,avg_duration_hours,position_avg_duration_hours,staff_performing,duration_variance_pct,performance_flag,avg_hourly_cost,avg_cost_per_activity,total_cost,evidence
GI005,PA Emma Wilson,GI PA,contractor,99213,GI Consult,7,2.1,2.1,1,0.0,AVERAGE,110.0,230.48,1613.33,"PA Emma Wilson (GI005, GI PA) performed 7 × 99213 (GI Consult). Avg time: 2.1h per activity. Position avg (GI PA): 2.1h (1 staff). Performance: ON PAR with position average. Avg cost: $230.48/activity. Total cost for this activity type: $1613.33. ✓ AVERAGE - Within normal range."
GI005,PA Emma Wilson,GI PA,contractor,99214,Extended GI Consult,3,2.22,2.22,1,0.0,AVERAGE,110.0,244.44,733.33,"PA Emma Wilson (GI005, GI PA) performed 3 × 99214 (Extended GI Consult). Avg time: 2.22h per activity. Position avg (GI PA): 2.22h (1 staff). Performance: ON PAR with position average. Avg cost: $244.44/activity. Total cost for this activity type: $733.33. ✓ AVERAGE - Within normal range."
GI001,Dr. Rachel Cohen,GI Physician,salaried,43239,Upper GI Endoscopy,3,2.44,2.78,2,-12.2,FAST,322.58,788.53,2365.59,"Dr. Rachel Cohen (GI001, GI Physician) performed 3 × 43239 (Upper GI Endoscopy). Avg time: 2.44h per activity. Position avg (GI Physician): 2.78h (2 staff). Performance: 12.2% FASTER than peers. Avg cost: $788.53/activity. Total cost for this activity type: $2365.59. ✓ FAST - High efficiency, potential best practice."
GI001,Dr. Rachel Cohen,GI Physician,salaried,43235,EGD with Biopsy,3,2.44,2.5,2,-2.4,AVERAGE,322.58,788.53,2365.59,"Dr. Rachel Cohen (GI001, GI Physician) performed 3 × 43235 (EGD with Biopsy). Avg time: 2.44h per activity. Position avg (GI Physician): 2.5h (2 staff). Performance: 2.4% FASTER than peers. Avg cost: $788.53/activity. Total cost for this activity type: $2365.59. ✓ AVERAGE - Within normal range."
GI008,Dr. Mark Thompson,GI Physician,salaried,43239,Upper GI Endoscopy,3,3.11,2.78,2,11.9,AVERAGE,336.02,1045.4,3136.19,"Dr. Mark Thompson (GI008, GI Physician) performed 3 × 43239 (Upper GI Endoscopy). Avg time: 3.11h per activity. Position avg (GI Physician): 2.78h (2 staff). Performance: 11.9% SLOWER than peers. Avg cost: $1045.4/activity. Total cost for this activity type: $3136.19. ✓ AVERAGE - Within normal range."
GI001,Dr. Rachel Cohen,GI Physician,salaried,45378,Diagnostic Colonoscopy,3,2.44,2.53,2,-3.6,AVERAGE,322.58,788.53,2365.59,"Dr. Rachel Cohen (GI001, GI Physician) performed 3 × 45378 (Diagnostic Colonoscopy). Avg time: 2.44h per activity. Position avg (GI Physician): 2.53h (2 staff). Performance: 3.6% FASTER than peers. Avg cost: $788.53/activity. Total cost for this activity type: $2365.59. ✓ AVERAGE - Within normal range."
GI008,Dr. Mark Thompson,GI Physician,salaried,45378,Diagnostic Colonoscopy,2,2.67,2.53,2,5.5,AVERAGE,336.02,896.05,1792.11,"Dr. Mark Thompson (GI008, GI Physician) performed 2 × 45378 (Diagnostic Colonoscopy). Avg time: 2.67h per activity. Position avg (GI Physician): 2.53h (2 staff). Performance: 5.5% SLOWER than peers. Avg cost: $896.05/activity. Total cost for this activity type: $1792.11. ✓ AVERAGE - Within normal range."
GI002,Dr. David Levi,Senior GI Physician,salaried,43239,Upper GI Endoscopy,2,2.67,2.67,1,0.0,AVERAGE,349.46,931.89,1863.79,"Dr. David Levi (GI002, Senior GI Physician) performed 2 × 43239 (Upper GI Endoscopy). Avg time: 2.67h per activity. Position avg (Senior GI Physician): 2.67h (1 staff). Performance: ON PAR with position average. Avg cost: $931.89/activity. Total cost for this activity type: $1863.79. ✓ AVERAGE - Within normal range."
GI002,Dr. David Levi,Senior GI Physician,salaried,43249,ERCP,2,2.67,2.67,1,0.0,AVERAGE,349.46,931.89,1863.79,"Dr. David Levi (GI002, Senior GI Physician) performed 2 × 43249 (ERCP). Avg time: 2.67h per activity. Position avg (Senior GI Physician): 2.67h (1 staff). Performance: ON PAR with position average. Avg cost: $931.89/activity. Total cost for this activity type: $1863.79. ✓ AVERAGE - Within normal range."
GI002,Dr. David Levi,Senior GI Physician,salaried,45380,Colonoscopy with Polypectomy,3,2.67,2.67,1,0.0,AVERAGE,349.46,931.89,2795.68,"Dr. David Levi (GI002, Senior GI Physician) performed 3 × 45380 (Colonoscopy with Polypectomy). Avg time: 2.67h per activity. Position avg (Senior GI Physician): 2.67h (1 staff). Performance: ON PAR with position average. Avg cost: $931.89/activity. Total cost for this activity type: $2795.68. ✓ AVERAGE - Within normal range."
GI002,Dr. David Levi,Senior GI Physician,salaried,45385,Colonoscopy with Biopsy,2,2.67,2.67,1,0.0,AVERAGE,349.46,931.89,1863.79,"Dr. David Levi (GI002, Senior GI Physician) performed 2 × 45385 (Colonoscopy with Biopsy). Avg time: 2.67h per activity. Position avg (Senior GI Physician): 2.67h (1 staff). Performance: ON PAR with position average. Avg cost: $931.89/activity. Total cost for this activity type: $1863.79. ✓ AVERAGE - Within normal range."
