shift_date,employee_id,employee_name,shift_start,shift_end,department_code,detected_shift_type,employment_type,hourly_rate,effective_hourly_cost,shift_hours,shift_cost,evidence
2024-06-01,GI003,Nurse Sarah Green,07:00,15:00,Gastroenterology,MORNING,salaried,,120.97,8.0,967.76,[MORNING SHIFT] Cost calculated as: 8.0 hours × $120.97/hour (effective rate includes 25% benefits loading on gross salary of $18000.0) = $967.76. Shift: 07:00-15:00 on 2024-06-01.
2024-06-01,GI004,Nurse Michael Kim,07:00,15:00,Gastroenterology,MORNING,contractor,95.0,95.0,8.0,760.0,"[MORNING SHIFT] Cost calculated as: 8.0 hours × $95.0/hour (contractor rate, no benefits loading) = $760.0. Shift: 07:00-15:00 on 2024-06-01."
2024-06-01,GI002,Dr. David Levi,08:00,16:00,Gastroenterology,MORNING,salaried,,349.46,8.0,2795.68,[MORNING SHIFT] Cost calculated as: 8.0 hours × $349.46/hour (effective rate includes 25% benefits loading on gross salary of $52000.0) = $2795.68. Shift: 08:00-16:00 on 2024-06-01.
2024-06-01,GI001,Dr. Rachel Cohen,08:00,16:00,Gastroenterology,MORNING,salaried,,322.58,8.0,2580.64,[MORNING SHIFT] Cost calculated as: 8.0 hours × $322.58/hour (effective rate includes 25% benefits loading on gross salary of $48000.0) = $2580.64. Shift: 08:00-16:00 on 2024-06-01.
2024-06-01,GI006,Tech John Smith,08:00,16:00,Gastroenterology,MORNING,contractor,75.0,75.0,8.0,600.0,"[MORNING SHIFT] Cost calculated as: 8.0 hours × $75.0/hour (contractor rate, no benefits loading) = $600.0. Shift: 08:00-16:00 on 2024-06-01."
2024-06-02,GI003,Nurse Sarah Green,07:00,15:00,Gastroenterology,MORNING,salaried,,120.97,8.0,967.76,[MORNING SHIFT] Cost calculated as: 8.0 hours × $120.97/hour (effective rate includes 25% benefits loading on gross salary of $18000.0) = $967.76. Shift: 07:00-15:00 on 2024-06-02.
2024-06-02,GI004,Nurse Michael Kim,07:00,15:00,Gastroenterology,MORNING,contractor,95.0,95.0,8.0,760.0,"[MORNING SHIFT] Cost calculated as: 8.0 hours × $95.0/hour (contractor rate, no benefits loading) = $760.0. Shift: 07:00-15:00 on 2024-06-02."
2024-06-02,GI006,Tech John Smith,08:00,16:00,Gastroenterology,MORNING,contractor,75.0,75.0,8.0,600.0,"[MORNING SHIFT] Cost calculated as: 8.0 hours × $75.0/hour (contractor rate, no benefits loading) = $600.0. Shift: 08:00-16:00 on 2024-06-02."
2024-06-02,GI001,Dr. Rachel Cohen,08:00,16:00,Gastroenterology,MORNING,salaried,,322.58,8.0,2580.64,[MORNING SHIFT] Cost calculated as: 8.0 hours × $322.58/hour (effective rate includes 25% benefits loading on gross salary of $48000.0) = $2580.64. Shift: 08:00-16:00 on 2024-06-02.
2024-06-02,GI002,Dr. David Levi,08:00,16:00,Gastroenterology,MORNING,salaried,,349.46,8.0,2795.68,[MORNING SHIFT] Cost calculated as: 8.0 hours × $349.46/hour (effective rate includes 25% benefits loading on gross salary of $52000.0) = $2795.68. Shift: 08:00-16:00 on 2024-06-02.
2024-06-03,GI003,Nurse Sarah Green,07:00,15:00,Gastroenterology,MORNING,salaried,,120.97,8.0,967.76,[MORNING SHIFT] Cost calculated as: 8.0 hours × $120.97/hour (effective rate includes 25% benefits loading on gross salary of $18000.0) = $967.76. Shift: 07:00-15:00 on 2024-06-03.
2024-06-03,GI004,Nurse Michael Kim,07:00,15:00,Gastroenterology,MORNING,contractor,95.0,95.0,8.0,760.0,"[MORNING SHIFT] Cost calculated as: 8.0 hours × $95.0/hour (contractor rate, no benefits loading) = $760.0. Shift: 07:00-15:00 on 2024-06-03."
2024-06-03,GI001,Dr. Rachel Cohen,08:00,16:00,Gastroenterology,MORNING,salaried,,322.58,8.0,2580.64,[MORNING SHIFT] Cost calculated as: 8.0 hours × $322.58/hour (effective rate includes 25% benefits loading on gross salary of $48000.0) = $2580.64. Shift: 08:00-16:00 on 2024-06-03.
2024-06-03,GI002,Dr. David Levi,08:00,16:00,Gastroenterology,MORNING,salaried,,349.46,8.0,2795.68,[MORNING SHIFT] Cost calculated as: 8.0 hours × $349.46/hour (effective rate includes 25% benefits loading on gross salary of $52000.0) = $2795.68. Shift: 08:00-16:00 on 2024-06-03.
2024-06-03,GI006,Tech John Smith,08:00,16:00,Gastroenterology,MORNING,contractor,75.0,75.0,8.0,600.0,"[MORNING SHIFT] Cost calculated as: 8.0 hours × $75.0/hour (contractor rate, no benefits loading) = $600.0. Shift: 08:00-16:00 on 2024-06-03."
2024-06-01,GI005,PA Emma Wilson,09:00,17:00,Gastroenterology,MID_DAY,contractor,110.0,110.0,8.0,880.0,"[MID_DAY SHIFT] Cost calculated as: 8.0 hours × $110.0/hour (contractor rate, no benefits loading) = $880.0. Shift: 09:00-17:00 on 2024-06-01."
2024-06-02,GI005,PA Emma Wilson,09:00,17:00,Gastroenterology,MID_DAY,contractor,110.0,110.0,8.0,880.0,"[MID_DAY SHIFT] Cost calculated as: 8.0 hours × $110.0/hour (contractor rate, no benefits loading) = $880.0. Shift: 09:00-17:00 on 2024-06-02."
2024-06-03,GI005,PA Emma Wilson,09:00,17:00,Gastroenterology,MID_DAY,contractor,110.0,110.0,8.0,880.0,"[MID_DAY SHIFT] Cost calculated as: 8.0 hours × $110.0/hour (contractor rate, no benefits loading) = $880.0. Shift: 09:00-17:00 on 2024-06-03."
2024-06-01,GI008,Dr. Mark Thompson,14:00,22:00,Gastroenterology,AFTERNOON,salaried,,336.02,8.0,2688.16,[AFTERNOON SHIFT] Cost calculated as: 8.0 hours × $336.02/hour (effective rate includes 25% benefits loading on gross salary of $50000.0) = $2688.16. Shift: 14:00-22:00 on 2024-06-01.
2024-06-01,GI007,Nurse Lisa Park,15:00,23:00,Gastroenterology,AFTERNOON,salaried,,124.33,8.0,994.64,[AFTERNOON SHIFT] Cost calculated as: 8.0 hours × $124.33/hour (effective rate includes 25% benefits loading on gross salary of $18500.0) = $994.64. Shift: 15:00-23:00 on 2024-06-01.
2024-06-01,GI009,Tech Amy Chen,15:00,23:00,Gastroenterology,AFTERNOON,contractor,80.0,80.0,8.0,640.0,"[AFTERNOON SHIFT] Cost calculated as: 8.0 hours × $80.0/hour (contractor rate, no benefits loading) = $640.0. Shift: 15:00-23:00 on 2024-06-01."
