employee_id,employee_name,shift_date,department_code,shift_type,scheduled_start,actual_start,scheduled_end,actual_end,arrival_diff_minutes,departure_diff_minutes,arrival_status,departure_status,compliance_flag,minutes_late,minutes_too_early,evidence
GI004,Nurse Michael Kim,2024-06-02,Gastroenterology,morning,07:00,07:55,15:00,14:45,55,-15,LATE,NORMAL,FLAGGED_LATE,55,0,Arrived at 07:55 but shift was scheduled to start at 07:00. Difference: 55 minutes late (threshold: 0 min)
GI002,Dr. David Levi,2024-06-02,Gastroenterology,day,08:00,08:45,16:00,15:30,45,-30,LATE,LEFT_EARLY,FLAGGED_LATE,45,0,Arrived at 08:45 but shift was scheduled to start at 08:00. Difference: 45 minutes late (threshold: 0 min)
GI003,Nurse Sarah Green,2024-06-02,Gastroenterology,morning,07:00,07:40,15:00,15:00,40,0,LATE,NORMAL,FLAGGED_LATE,40,0,Arrived at 07:40 but shift was scheduled to start at 07:00. Difference: 40 minutes late (threshold: 0 min)
GI001,Dr. Rachel Cohen,2024-06-02,Gastroenterology,day,08:00,08:35,16:00,16:00,35,0,LATE,NORMAL,FLAGGED_LATE,35,0,Arrived at 08:35 but shift was scheduled to start at 08:00. Difference: 35 minutes late (threshold: 0 min)
GI005,PA Emma Wilson,2024-06-02,Gastroenterology,day,09:00,09:30,17:00,16:45,30,-15,LATE,NORMAL,FLAGGED_LATE,30,0,Arrived at 09:30 but shift was scheduled to start at 09:00. Difference: 30 minutes late (threshold: 0 min)
GI004,Nurse Michael Kim,2024-06-03,Gastroenterology,morning,07:00,06:00,15:00,15:00,-60,0,TOO_EARLY,NORMAL,FLAGGED_TOO_EARLY,0,60,Arrived at 06:00 which is 60 minutes before shift start at 07:00 (max allowed early: 30 min)
GI006,Tech John Smith,2024-06-02,Gastroenterology,day,08:00,08:00,16:00,15:30,0,-30,ON_TIME,LEFT_EARLY,FLAGGED_EARLY_DEPARTURE,0,0,Left at 15:30 but shift was scheduled to end at 16:00. Left 30 minutes early (threshold: 15 min)
GI002,Dr. David Levi,2024-06-01,Gastroenterology,day,08:00,08:00,16:00,16:00,0,0,ON_TIME,NORMAL,OK,0,0,Arrived at 08:00 for 08:00 shift (on time). Departed at 16:00 for 16:00 end (on time).
GI004,Nurse Michael Kim,2024-06-01,Gastroenterology,morning,07:00,07:00,15:00,15:00,0,0,ON_TIME,NORMAL,OK,0,0,Arrived at 07:00 for 07:00 shift (on time). Departed at 15:00 for 15:00 end (on time).
GI005,PA Emma Wilson,2024-06-01,Gastroenterology,day,09:00,09:00,17:00,17:00,0,0,ON_TIME,NORMAL,OK,0,0,Arrived at 09:00 for 09:00 shift (on time). Departed at 17:00 for 17:00 end (on time).
GI002,Dr. David Levi,2024-06-03,Gastroenterology,day,08:00,08:00,16:00,16:00,0,0,ON_TIME,NORMAL,OK,0,0,Arrived at 08:00 for 08:00 shift (on time). Departed at 16:00 for 16:00 end (on time).
GI003,Nurse Sarah Green,2024-06-03,Gastroenterology,morning,07:00,07:00,15:00,15:00,0,0,ON_TIME,NORMAL,OK,0,0,Arrived at 07:00 for 07:00 shift (on time). Departed at 15:00 for 15:00 end (on time).
GI005,PA Emma Wilson,2024-06-03,Gastroenterology,day,09:00,09:00,17:00,17:00,0,0,ON_TIME,NORMAL,OK,0,0,Arrived at 09:00 for 09:00 shift (on time). Departed at 17:00 for 17:00 end (on time).
GI006,Tech John Smith,2024-06-03,Gastroenterology,day,08:00,08:00,16:00,16:00,0,0,ON_TIME,NORMAL,OK,0,0,Arrived at 08:00 for 08:00 shift (on time). Departed at 16:00 for 16:00 end (on time).
GI001,Dr. Rachel Cohen,2024-06-01,Gastroenterology,day,08:00,07:55,16:00,16:10,-5,10,EARLY_OK,NORMAL,OK,0,0,Arrived at 07:55 for 08:00 shift (5 min early). Departed at 16:10 for 16:00 end (10 min overtime but OK).
GI003,Nurse Sarah Green,2024-06-01,Gastroenterology,morning,07:00,06:55,15:00,15:00,-5,0,EARLY_OK,NORMAL,OK,0,0,Arrived at 06:55 for 07:00 shift (5 min early). Departed at 15:00 for 15:00 end (on time).
GI006,Tech John Smith,2024-06-01,Gastroenterology,day,08:00,07:50,16:00,16:00,-10,0,EARLY_OK,NORMAL,OK,0,0,Arrived at 07:50 for 08:00 shift (10 min early). Departed at 16:00 for 16:00 end (on time).
GI001,Dr. Rachel Cohen,2024-06-03,Gastroenterology,day,08:00,07:50,16:00,16:05,-10,5,EARLY_OK,NORMAL,OK,0,0,Arrived at 07:50 for 08:00 shift (10 min early). Departed at 16:05 for 16:00 end (5 min overtime but OK).
